feature,importance,importance_pct
rolling_mean_3m,368,7.62
rolling_std_3m,329,6.81
count_lag1,324,6.71
volatility_score,303,6.27
count_lag3,278,5.76
stn_approval_rate,218,4.51
pct_car_lag1,214,4.43
trend_slope,206,4.27
rolling_max_3m,186,3.85
pct_wrong_park_lag1,179,3.71
stn_n_cells,178,3.69
stn_total,173,3.58
weekend_frac_lag1,168,3.48
pct_two_wheeler_lag1,166,3.44
pct_commercial_lag1,164,3.4
pct_no_park_lag1,163,3.37
count_lag2,162,3.35
stn_unresolved_rate,159,3.29
stn_val_delay,138,2.86
peak_h_frac_lag1,130,2.69
vt_diversity_lag1,95,1.97
junc_density_lag1,91,1.88
mean_sev_lag1,72,1.49
count_per_day_lag1,68,1.41
multi_viol_rate_lag1,64,1.33
approval_ratio_lag1,60,1.24
pct_main_road_lag1,51,1.06
count_per_day_lag3,44,0.91
is_junction_cell_lag1,23,0.48
n_active_months,19,0.39
persistence_score,16,0.33
pct_footpath_lag1,7,0.14
n_months_in_top100,6,0.12
recurrence_rate,5,0.1
pct_road_cross_lag1,3,0.06
month_index,0,0.0
month_sin,0,0.0
month_cos,0,0.0
days_in_window,0,0.0
is_january,0,0.0
cell_lat,0,0.0
cell_lon,0,0.0
is_junction_cell,0,0.0
junc_density,0,0.0
n_neighboring_cells_active,0,0.0
