police_station,count,pct
UPPARPET,34468,11.55
SHIVAJINAGAR,28044,9.4
MALLESHWARAM,22200,7.44
HAL OLD AIRPORT,20819,6.98
CITY MARKET,17646,5.91
VIJAYANAGARA,14652,4.91
RAJAJINAGAR,10998,3.69
KODIGEHALLI,10916,3.66
MAGADI ROAD,8558,2.87
JEEVANBHEEMANAGAR,6736,2.26
K.R. PURA,6546,2.19
HALASURU GATE,6294,2.11
MAHADEVAPURA,6187,2.07
CHIKKAJALA,5834,1.95
HSR LAYOUT,5018,1.68
BELLANDUR,4964,1.66
HIGH GROUND,4951,1.66
BYATARAYANAPURA,4555,1.53
ELECTRONIC CITY,4333,1.45
PULIKESHINAGAR(F.TOWN),4136,1.39
HALASUR,4011,1.34
JAYANAGARA,3813,1.28
CHAMARAJPET,3795,1.27
BANASWADI,3759,1.26
BASAVANAGUDI,3604,1.21
ASHOK NAGAR,3524,1.18
ADUGODI,3332,1.12
CUBBON PARK,3255,1.09
HEBBALA,3209,1.08
WILSON GARDEN,3108,1.04
SHESHADRIPURAM,3090,1.04
MICO LAYOUT,2588,0.87
YESHWANTHPURA,2587,0.87
YELAHANKA,2440,0.82
HULIMAVU,2395,0.8
WHITEFIELD,2303,0.77
R.T. NAGAR,1736,0.58
J.P. NAGAR,1637,0.55
MADIWALA,1563,0.52
V.V.PURAM (C.PET),1556,0.52
SADASHIVANAGAR,1445,0.48
KAMAKSHIPALYA,1431,0.48
BANASHANKARI,1202,0.4
JALAHALLI,1160,0.39
JNANABHARATHI,1063,0.36
PEENYA,974,0.33
DEVANAHALLI AIRPORT,940,0.31
K.G. HALLI,892,0.3
HENNURU,892,0.3
THALAGATTAPURA,870,0.29
K.S. LAYOUT,828,0.28
CHIKKABANAVARA,785,0.26
KENGERI,464,0.16
NO POLICE STATION,339,0.11
,5,0.0
