fold,pred_month,target_type,model,recall@20,recall@50,spearman,mae_top200
3,2024-02,count_target,lag1,0.65,0.8,0.6904,107.5
3,2024-02,count_target,rolling,0.7,0.82,0.7486,84.2
3,2024-02,count_target,rule,0.65,0.82,0.7199,80.2
3,2024-02,count_target,lgbm,0.7,0.82,0.6968,112.0
3,2024-02,severity_target,lag1,0.6,0.78,0.6053,125.9
3,2024-02,severity_target,rolling,0.65,0.8,0.658,128.1
3,2024-02,severity_target,rule,0.6,0.8,0.6183,126.3
3,2024-02,severity_target,lgbm,0.65,0.72,0.6345,135.5
4,2024-03,count_target,lag1,0.75,0.8,0.7492,72.6
4,2024-03,count_target,rolling,0.75,0.72,0.7257,71.9
4,2024-03,count_target,rule,0.8,0.78,0.7516,76.5
4,2024-03,count_target,lgbm,0.85,0.72,0.6756,92.4
4,2024-03,severity_target,lag1,0.75,0.78,0.7157,127.5
4,2024-03,severity_target,rolling,0.7,0.72,0.6428,117.9
4,2024-03,severity_target,rule,0.8,0.76,0.6987,141.5
4,2024-03,severity_target,lgbm,0.85,0.7,0.6844,119.6
