patrol_rank,spatial_cell_id,cell_lat,cell_lon,predicted_count,priority_score,police_station,stability_class,recurrence,cv,trend_slope
1,CELL_2595_15515,12.977162307899208,77.57721647242356,3181.677861192371,1.200968,UPPARPET,Persistent,1.0,0.24577471722445027,150.62857142857087
2,CELL_2592_15515,12.964004749282166,77.57688813089085,2112.031180957009,0.797868,CITY MARKET,Persistent,1.0,0.28500604248163114,180.6
3,CELL_2596_15522,12.981733459395604,77.61081055417583,1630.7331064915793,0.617526,SHIVAJINAGAR,Persistent,1.0,0.30060151552906067,213.79999999999998
4,CELL_2596_15521,12.981996736941024,77.60771913149708,1580.463647103298,0.597382,SHIVAJINAGAR,Persistent,1.0,0.2593503666125634,-152.25714285714284
5,CELL_2586_15538,12.933707119560028,77.6909288012431,1375.9848583341245,0.441389,HAL OLD AIRPORT,Volatile,1.0,0.7063274430260162,-42.25714285714276
6,CELL_2594_15515,12.973087288459764,77.57830033187822,1166.5338665668853,0.44094,UPPARPET,Persistent,1.0,0.23733128686925375,-13.314285714285658
7,CELL_2614_15517,13.071087910668217,77.58792705713351,1063.342812810411,0.401181,KODIGEHALLI,Persistent,1.0,0.35949258192435435,160.7714285714285
8,CELL_2602_15510,13.011887136431227,77.55344289247212,974.1395188858245,0.367705,MALLESHWARAM,Persistent,1.0,0.4879424090110297,227.1999999999999
9,CELL_2595_15514,12.977557211991199,77.57293700913091,843.2863974013725,0.320095,UPPARPET,Persistent,1.0,0.33640702197515715,-46.42857142857144
10,CELL_2596_15520,12.983562947294372,77.60326726861472,965.4988707937111,0.304271,SHIVAJINAGAR,Volatile,1.0,0.52226076203758,-66.74285714285712
11,CELL_2594_15509,12.974235494163459,77.54647151257161,686.9505858367725,0.25955,VIJAYANAGARA,Persistent,1.0,0.36876440094610147,-49.14285714285707
12,CELL_2599_15509,12.998249071212122,77.54884574886364,667.4081674720169,0.252373,VIJAYANAGARA,Persistent,1.0,0.2343943089945037,-9.485714285714387
13,CELL_2592_15516,12.963902162226328,77.58287736676185,622.1778874056056,0.234928,HALASURU GATE,Persistent,1.0,0.18639096958149626,35.11428571428568
14,CELL_2601_15539,13.008243802707275,77.69579203299493,539.6791060243742,0.207239,K.R. PURA,Persistent,1.0,0.4724852702309598,125.25714285714282
15,CELL_2636_15535,13.184118771163575,77.67965363490724,534.652707765546,0.203493,CHIKKAJALA,Persistent,1.0,0.3625476145793907,22.37142857142855
16,CELL_2601_15510,13.008420432859399,77.55451193412323,511.27332176660093,0.19274,MALLESHWARAM,Persistent,1.0,0.40416342945472095,74.9428571428571
17,CELL_2586_15537,12.931875639629013,77.68738436654637,489.97345002715844,0.191664,HAL OLD AIRPORT,Persistent,1.0,0.4226526029415661,36.14285714285713
18,CELL_2593_15515,12.968385393734588,77.57663545386495,506.4484713366977,0.190992,CITY MARKET,Persistent,1.0,0.3350917877391472,5.885714285714296
19,CELL_2607_15517,13.035671033213646,77.58911497235188,497.2566036148943,0.187845,HEBBALA,Persistent,1.0,0.33941889640837136,-29.3428571428571
20,CELL_2594_15510,12.97359337821101,77.55112304518349,482.7810952983091,0.1822,MAGADI ROAD,Persistent,1.0,0.449524074753635,-33.48571428571429
